Date,Price
1-Jan-09,1.399
2-Jan-09,1.3879
5-Jan-09,1.3605
6-Jan-09,1.351
7-Jan-09,1.3634
8-Jan-09,1.3727
9-Jan-09,1.344
12-Jan-09,1.3371
13-Jan-09,1.3196
14-Jan-09,1.3162
15-Jan-09,1.3154
16-Jan-09,1.3304
19-Jan-09,1.3112
20-Jan-09,1.2889
21-Jan-09,1.3041
22-Jan-09,1.2986
23-Jan-09,1.2992
26-Jan-09,1.3166
27-Jan-09,1.3178
28-Jan-09,1.3138
29-Jan-09,1.2959
30-Jan-09,1.2782
2-Feb-09,1.2851
3-Feb-09,1.3037
4-Feb-09,1.283
5-Feb-09,1.2786
6-Feb-09,1.2933
9-Feb-09,1.301
10-Feb-09,1.2898
11-Feb-09,1.2896
12-Feb-09,1.2864
13-Feb-09,1.2862
16-Feb-09,1.2778
17-Feb-09,1.2591
18-Feb-09,1.2539
19-Feb-09,1.2663
20-Feb-09,1.2843
23-Feb-09,1.2708
24-Feb-09,1.284
25-Feb-09,1.271
26-Feb-09,1.2731
27-Feb-09,1.2669
2-Mar-09,1.2584
3-Mar-09,1.2567
4-Mar-09,1.2637
5-Mar-09,1.2561
6-Mar-09,1.2641
9-Mar-09,1.2611
10-Mar-09,1.2671
11-Mar-09,1.2829
12-Mar-09,1.2912
13-Mar-09,1.2925
16-Mar-09,1.2966
17-Mar-09,1.3013
18-Mar-09,1.3508
19-Mar-09,1.3666
20-Mar-09,1.3583
23-Mar-09,1.363
24-Mar-09,1.346
25-Mar-09,1.3586
26-Mar-09,1.3534
27-Mar-09,1.3301
30-Mar-09,1.3207
31-Mar-09,1.3251
1-Apr-09,1.3232
2-Apr-09,1.3463
3-Apr-09,1.3483
6-Apr-09,1.3407
7-Apr-09,1.3268
8-Apr-09,1.326
9-Apr-09,1.3165
10-Apr-09,1.3188
13-Apr-09,1.3365
14-Apr-09,1.3255
15-Apr-09,1.322
16-Apr-09,1.3179
17-Apr-09,1.3041
20-Apr-09,1.2916
21-Apr-09,1.2935
22-Apr-09,1.2999
23-Apr-09,1.3147
24-Apr-09,1.3255
27-Apr-09,1.3019
28-Apr-09,1.3146
29-Apr-09,1.3266
30-Apr-09,1.3226
1-May-09,1.3266
4-May-09,1.3405
5-May-09,1.3323
6-May-09,1.3319
7-May-09,1.3399
8-May-09,1.3647
11-May-09,1.3575
12-May-09,1.3644
13-May-09,1.3599
14-May-09,1.3634
15-May-09,1.3496
18-May-09,1.3557
19-May-09,1.3625
20-May-09,1.3771
21-May-09,1.3893
22-May-09,1.3994
25-May-09,1.4009
26-May-09,1.3991
27-May-09,1.3836
28-May-09,1.3937
29-May-09,1.4154
1-Jun-09,1.4165
2-Jun-09,1.4305
3-Jun-09,1.4152
4-Jun-09,1.4188
5-Jun-09,1.3975
8-Jun-09,1.3898
