Date,yield,price,100logreturn
1/2/2009,2.416,785.3702628,
1/5/2009,2.488,779.735905,-0.312692027
1/6/2009,2.505,778.41148,-0.073830062
1/7/2009,2.494,779.2682038,0.047772393
1/8/2009,2.445,783.0959884,0.212804296
1/9/2009,2.407,786.0774142,0.165031903
1/12/2009,2.309,793.818844,0.425608592
1/13/2009,2.297,794.7719983,0.052115338
1/14/2009,2.213,801.4762014,0.364807365
1/15/2009,2.201,802.4385501,0.052115338
1/16/2009,2.304,794.2158526,-0.447323316
1/20/2009,2.345,790.9662339,-0.178060738
1/21/2009,2.526,776.7785311,-0.786073012
1/22/2009,2.594,771.5143556,-0.295320248
1/23/2009,2.622,769.3571369,-0.121602455
1/26/2009,2.643,767.7431822,-0.091201841
1/27/2009,2.519,777.3224664,0.538525158
1/28/2009,2.656,766.7457645,-0.59498344
1/29/2009,2.815,754.6509157,-0.690528226
1/30/2009,2.844,752.4655983,-0.1259454
2/2/2009,2.719,761.9304503,0.542868102
2/3/2009,2.842,752.6161064,-0.534182213
2/4/2009,2.914,747.2167315,-0.312692027
2/5/2009,2.9,748.2635676,0.060801227
2/6/2009,2.979,742.3755736,-0.343092641
2/9/2009,3.027,738.8207093,-0.208461351
2/10/2009,2.847,752.2398924,0.781730067
2/11/2009,2.762,758.6611834,0.36915031
2/12/2009,2.727,761.3211497,0.152003069
2/13/2009,2.882,749.6116549,-0.673156447
2/17/2009,2.662,766.285855,0.95544786
2/18/2009,2.728,761.2450214,-0.286634358
2/19/2009,2.857,751.4880285,-0.560239882
2/20/2009,2.772,757.9029014,0.36915031
2/23/2009,2.777,757.5240446,-0.021714724
2/24/2009,2.799,755.8593236,-0.095544786
2/25/2009,2.945,744.9039463,-0.634069944
2/26/2009,2.978,742.4498149,-0.143317179
2/27/2009,3.041,737.7870841,-0.273605524
3/2/2009,2.919,746.8432166,0.529839268
3/3/2009,2.938,745.4255616,-0.082515952
3/4/2009,3.011,740.0037687,-0.317034972
3/5/2009,2.819,754.3491157,0.833845405
3/6/2009,2.828,753.6705069,-0.039086503
3/9/2009,2.886,749.3118702,-0.2518908
3/10/2009,2.982,742.1528943,-0.416922703
3/11/2009,2.916,747.0673031,0.286634358
3/12/2009,2.892,748.8624179,0.104230676
3/13/2009,2.885,749.3868051,0.030400614
3/16/2009,2.951,744.457138,-0.286634358
3/17/2009,3.003,740.5960085,-0.225833131
3/18/2009,2.533,776.2349764,2.041184065
3/19/2009,2.597,771.282936,-0.277948468
