Date,Price
1-Jan-09,1.2207
2-Jan-09,1.2151
5-Jan-09,1.1888
6-Jan-09,1.1848
7-Jan-09,1.1961
8-Jan-09,1.1793
9-Jan-09,1.1886
12-Jan-09,1.2166
13-Jan-09,1.2246
14-Jan-09,1.248
15-Jan-09,1.2521
16-Jan-09,1.2483
19-Jan-09,1.2546
20-Jan-09,1.2669
21-Jan-09,1.2559
22-Jan-09,1.2535
23-Jan-09,1.2311
26-Jan-09,1.2228
27-Jan-09,1.2268
28-Jan-09,1.2151
29-Jan-09,1.2239
30-Jan-09,1.2269
2-Feb-09,1.2426
3-Feb-09,1.2313
4-Feb-09,1.2325
5-Feb-09,1.2317
6-Feb-09,1.2256
9-Feb-09,1.2161
10-Feb-09,1.2462
11-Feb-09,1.2418
12-Feb-09,1.2435
13-Feb-09,1.2346
16-Feb-09,1.2439
17-Feb-09,1.265
18-Feb-09,1.2603
19-Feb-09,1.2593
20-Feb-09,1.2508
23-Feb-09,1.2501
24-Feb-09,1.2429
25-Feb-09,1.2569
26-Feb-09,1.2519
27-Feb-09,1.2732
2-Mar-09,1.2908
3-Mar-09,1.2933
4-Mar-09,1.2744
5-Mar-09,1.2891
6-Mar-09,1.2877
9-Mar-09,1.2997
10-Mar-09,1.2813
11-Mar-09,1.2853
12-Mar-09,1.278
13-Mar-09,1.2721
16-Mar-09,1.2719
17-Mar-09,1.2692
18-Mar-09,1.246
19-Mar-09,1.2397
20-Mar-09,1.2412
23-Mar-09,1.2237
24-Mar-09,1.23
25-Mar-09,1.2321
26-Mar-09,1.2298
27-Mar-09,1.2422
30-Mar-09,1.262
31-Mar-09,1.261
1-Apr-09,1.2603
2-Apr-09,1.2372
3-Apr-09,1.2298
6-Apr-09,1.2386
7-Apr-09,1.2376
8-Apr-09,1.2359
9-Apr-09,1.2247
10-Apr-09,1.2262
13-Apr-09,1.2201
14-Apr-09,1.2157
15-Apr-09,1.2027
16-Apr-09,1.2102
17-Apr-09,1.2138
20-Apr-09,1.2389
21-Apr-09,1.237
22-Apr-09,1.2409
23-Apr-09,1.2235
24-Apr-09,1.2094
27-Apr-09,1.2212
28-Apr-09,1.2205
29-Apr-09,1.2038
30-Apr-09,1.194
1-May-09,1.1854
4-May-09,1.1734
5-May-09,1.1759
6-May-09,1.1673
7-May-09,1.1696
8-May-09,1.1502
11-May-09,1.1674
12-May-09,1.1624
13-May-09,1.1734
14-May-09,1.1703
15-May-09,1.178
18-May-09,1.1629
19-May-09,1.1561
20-May-09,1.1421
21-May-09,1.136
22-May-09,1.1197
25-May-09,1.1241
26-May-09,1.1161
27-May-09,1.1219
28-May-09,1.1143
29-May-09,1.0907
1-Jun-09,1.0909
2-Jun-09,1.0817
3-Jun-09,1.113
4-Jun-09,1.097
5-Jun-09,1.1191
8-Jun-09,1.1166
9-Jun-09,1.1042
10-Jun-09,1.1088
11-Jun-09,1.1025
12-Jun-09,1.1189
15-Jun-09,1.1324
16-Jun-09,1.1352
17-Jun-09,1.1315
18-Jun-09,1.1326
19-Jun-09,1.1355
22-Jun-09,1.1547
23-Jun-09,1.1499
24-Jun-09,1.1559
25-Jun-09,1.1547
26-Jun-09,1.1526
29-Jun-09,1.1569
30-Jun-09,1.1627
1-Jul-09,1.1486
2-Jul-09,1.1637
3-Jul-09,1.1608
6-Jul-09,1.1595
7-Jul-09,1.1658
8-Jul-09,1.1674
9-Jul-09,1.1619
10-Jul-09,1.1639
13-Jul-09,1.1515
14-Jul-09,1.1333
15-Jul-09,1.1127
16-Jul-09,1.1176
17-Jul-09,1.1134
20-Jul-09,1.1069
21-Jul-09,1.104
22-Jul-09,1.0998
23-Jul-09,1.0901
24-Jul-09,1.0867
27-Jul-09,1.0808
28-Jul-09,1.0804
29-Jul-09,1.0911
30-Jul-09,1.0833
31-Jul-09,1.0779
3-Aug-09,1.066
4-Aug-09,1.0716
5-Aug-09,1.0703
6-Aug-09,1.0779
7-Aug-09,1.0814
10-Aug-09,1.0884
11-Aug-09,1.1018
12-Aug-09,1.0881
