Date,Price
1-Jan-09,1.0651
2-Jan-09,1.0848
5-Jan-09,1.1089
6-Jan-09,1.1165
7-Jan-09,1.104
8-Jan-09,1.0946
9-Jan-09,1.1191
12-Jan-09,1.1153
13-Jan-09,1.1187
14-Jan-09,1.1153
15-Jan-09,1.1223
16-Jan-09,1.1111
19-Jan-09,1.1326
20-Jan-09,1.1481
21-Jan-09,1.1547
22-Jan-09,1.1542
23-Jan-09,1.1533
26-Jan-09,1.1388
27-Jan-09,1.1402
28-Jan-09,1.1527
29-Jan-09,1.1546
30-Jan-09,1.1661
2-Feb-09,1.1624
3-Feb-09,1.1446
4-Feb-09,1.1582
5-Feb-09,1.1716
6-Feb-09,1.1595
9-Feb-09,1.1674
10-Feb-09,1.1571
11-Feb-09,1.1608
12-Feb-09,1.1615
13-Feb-09,1.1564
16-Feb-09,1.1599
17-Feb-09,1.1692
18-Feb-09,1.1751
19-Feb-09,1.1749
20-Feb-09,1.1465
23-Feb-09,1.1711
24-Feb-09,1.1587
25-Feb-09,1.1702
26-Feb-09,1.1598
27-Feb-09,1.1615
2-Mar-09,1.1761
3-Mar-09,1.1793
4-Mar-09,1.1694
5-Mar-09,1.1704
6-Mar-09,1.1488
9-Mar-09,1.1591
10-Mar-09,1.1597
11-Mar-09,1.1557
12-Mar-09,1.1874
13-Mar-09,1.1936
16-Mar-09,1.1851
17-Mar-09,1.1809
18-Mar-09,1.1416
19-Mar-09,1.1237
20-Mar-09,1.13
23-Mar-09,1.1256
24-Mar-09,1.131
25-Mar-09,1.1223
26-Mar-09,1.1273
27-Mar-09,1.1482
30-Mar-09,1.1509
31-Mar-09,1.1394
1-Apr-09,1.1458
2-Apr-09,1.134
3-Apr-09,1.13
6-Apr-09,1.1386
7-Apr-09,1.143
8-Apr-09,1.1489
9-Apr-09,1.1595
10-Apr-09,1.1544
13-Apr-09,1.1332
14-Apr-09,1.1375
15-Apr-09,1.143
16-Apr-09,1.1477
17-Apr-09,1.1691
20-Apr-09,1.1706
21-Apr-09,1.1684
22-Apr-09,1.1639
23-Apr-09,1.1504
24-Apr-09,1.1352
27-Apr-09,1.1561
28-Apr-09,1.1436
29-Apr-09,1.1301
30-Apr-09,1.1394
1-May-09,1.1333
4-May-09,1.1256
5-May-09,1.134
6-May-09,1.1346
7-May-09,1.1299
8-May-09,1.1046
11-May-09,1.1094
12-May-09,1.1026
13-May-09,1.1114
14-May-09,1.1045
15-May-09,1.1247
18-May-09,1.1147
19-May-09,1.1079
20-May-09,1.0994
21-May-09,1.0901
22-May-09,1.0855
25-May-09,1.0832
26-May-09,1.0834
27-May-09,1.0927
28-May-09,1.0841
29-May-09,1.0655
1-Jun-09,1.0689
2-Jun-09,1.0628
3-Jun-09,1.071
4-Jun-09,1.0695
5-Jun-09,1.0906
8-Jun-09,1.0894
9-Jun-09,1.0787
10-Jun-09,1.0802
11-Jun-09,1.0688
12-Jun-09,1.0846
15-Jun-09,1.093
16-Jun-09,1.0897
17-Jun-09,1.0781
18-Jun-09,1.086
19-Jun-09,1.0809
22-Jun-09,1.0869
23-Jun-09,1.0673
24-Jun-09,1.0971
25-Jun-09,1.0922
26-Jun-09,1.0831
29-Jun-09,1.0818
30-Jun-09,1.0853
1-Jul-09,1.0747
2-Jul-09,1.0871
3-Jul-09,1.0863
6-Jul-09,1.0835
7-Jul-09,1.0905
8-Jul-09,1.0909
9-Jul-09,1.0792
10-Jul-09,1.086
13-Jul-09,1.0807
14-Jul-09,1.0879
15-Jul-09,1.0756
16-Jul-09,1.0741
17-Jul-09,1.0765
20-Jul-09,1.0689
21-Jul-09,1.068
22-Jul-09,1.0669
23-Jul-09,1.0734
24-Jul-09,1.0716
27-Jul-09,1.0699
28-Jul-09,1.0767
29-Jul-09,1.0894
30-Jul-09,1.087
31-Jul-09,1.0682
3-Aug-09,1.0595
4-Aug-09,1.0591
5-Aug-09,1.0611
6-Aug-09,1.0637
7-Aug-09,1.0807
10-Aug-09,1.0857
11-Aug-09,1.082
12-Aug-09,1.0759
13-Aug-09,1.0709
14-Aug-09,1.0718
17-Aug-09,1.0761
18-Aug-09,1.0734
19-Aug-09,1.0645
20-Aug-09,1.0631
21-Aug-09,1.0582
24-Aug-09,1.0619
25-Aug-09,1.0623
26-Aug-09,1.0688
27-Aug-09,1.0571
28-Aug-09,1.0596
31-Aug-09,1.0586
1-Sep-09,1.0667
2-Sep-09,1.0603
3-Sep-09,1.0623
4-Sep-09,1.0606
7-Sep-09,1.0602
8-Sep-09,1.0457
9-Sep-09,1.0418
10-Sep-09,1.0383
11-Sep-09,1.0384
14-Sep-09,1.0328
15-Sep-09,1.0339
16-Sep-09,1.032
17-Sep-09,1.0293
18-Sep-09,1.0294
21-Sep-09,1.032
22-Sep-09,1.0224
23-Sep-09,1.0271
24-Sep-09,1.0299
25-Sep-09,1.0274
28-Sep-09,1.0326
29-Sep-09,1.0359
30-Sep-09,1.0349
1-Oct-09,1.0428
2-Oct-09,1.0352
5-Oct-09,1.0315
6-Oct-09,1.0267
7-Oct-09,1.0314
8-Oct-09,1.0274
9-Oct-09,1.0313
12-Oct-09,1.0258
13-Oct-09,1.0219
14-Oct-09,1.0144
15-Oct-09,1.014
16-Oct-09,1.0183
19-Oct-09,1.0114
20-Oct-09,1.0126
21-Oct-09,1.0059
22-Oct-09,1.0046
23-Oct-09,1.0087
26-Oct-09,1.0191
27-Oct-09,1.021
28-Oct-09,1.0266
29-Oct-09,1.0184
30-Oct-09,1.0264
2-Nov-09,1.0223
3-Nov-09,1.0255
4-Nov-09,1.0156
5-Nov-09,1.016
6-Nov-09,1.0175
9-Nov-09,1.0074
10-Nov-09,1.0073
11-Nov-09,1.0082
12-Nov-09,1.0167
13-Nov-09,1.0126
16-Nov-09,1.0073
17-Nov-09,1.0158
18-Nov-09,1.0105
19-Nov-09,1.0135
20-Nov-09,1.018
23-Nov-09,1.0101
24-Nov-09,1.0087
25-Nov-09,0.9971
26-Nov-09,1.0048
27-Nov-09,1.0056
30-Nov-09,1.0034
1-Dec-09,0.999
2-Dec-09,1.0007
3-Dec-09,1.0002
4-Dec-09,1.0163
7-Dec-09,1.0187
8-Dec-09,1.0278
9-Dec-09,1.0259
10-Dec-09,1.0262
11-Dec-09,1.0344
14-Dec-09,1.0314
15-Dec-09,1.0403
16-Dec-09,1.0391
17-Dec-09,1.0465
18-Dec-09,1.042
21-Dec-09,1.0456
22-Dec-09,1.0487
23-Dec-09,1.0392
24-Dec-09,1.038
25-Dec-09,1.038
28-Dec-09,1.0355
29-Dec-09,1.0378
30-Dec-09,1.0362
31-Dec-09,1.0351
1-Jan-10,1.0351
4-Jan-10,1.0292
5-Jan-10,1.0336
6-Jan-10,1.0278
7-Jan-10,1.0338
8-Jan-10,1.0237
11-Jan-10,1.0169
12-Jan-10,1.0191
13-Jan-10,1.0176
14-Jan-10,1.0188
15-Jan-10,1.0253
18-Jan-10,1.0238
19-Jan-10,1.0329
20-Jan-10,1.0437
21-Jan-10,1.0421
22-Jan-10,1.0416
25-Jan-10,1.0401
26-Jan-10,1.0459
27-Jan-10,1.0499
28-Jan-10,1.052
29-Jan-10,1.0608
1-Feb-10,1.0569
2-Feb-10,1.055
3-Feb-10,1.0586
4-Feb-10,1.0659
5-Feb-10,1.0724
8-Feb-10,1.0729
9-Feb-10,1.0655
10-Feb-10,1.0668
11-Feb-10,1.0708
12-Feb-10,1.0756
15-Feb-10,1.0776
16-Feb-10,1.0661
17-Feb-10,1.0776
18-Feb-10,1.0876
19-Feb-10,1.0756
22-Feb-10,1.0755
23-Feb-10,1.0825
24-Feb-10,1.0811
25-Feb-10,1.0812
26-Feb-10,1.0735
1-Mar-10,1.0795
2-Mar-10,1.0744
3-Mar-10,1.0676
4-Mar-10,1.0771
5-Mar-10,1.074
8-Mar-10,1.0739
9-Mar-10,1.0745
10-Mar-10,1.0708
11-Mar-10,1.0684
12-Mar-10,1.0578
15-Mar-10,1.0619
16-Mar-10,1.0553
17-Mar-10,1.0543
18-Mar-10,1.0575
19-Mar-10,1.0615
22-Mar-10,1.0576
23-Mar-10,1.0572
24-Mar-10,1.072
25-Mar-10,1.0718
26-Mar-10,1.0652
29-Mar-10,1.0619
30-Mar-10,1.0653
31-Mar-10,1.0522
1-Apr-10,1.0543
2-Apr-10,1.0609
5-Apr-10,1.0636
6-Apr-10,1.07
7-Apr-10,1.0747
8-Apr-10,1.072
9-Apr-10,1.0657
12-Apr-10,1.0599
13-Apr-10,1.0541
14-Apr-10,1.0514
15-Apr-10,1.0569
16-Apr-10,1.0615
19-Apr-10,1.063
20-Apr-10,1.0692
21-Apr-10,1.0702
22-Apr-10,1.0833
23-Apr-10,1.0723
26-Apr-10,1.0717
27-Apr-10,1.0873
28-Apr-10,1.0865
29-Apr-10,1.0824
30-Apr-10,1.0777
3-May-10,1.0856
4-May-10,1.1039
5-May-10,1.1178
6-May-10,1.1135
7-May-10,1.1083
10-May-10,1.1112
11-May-10,1.1112
12-May-10,1.1095
13-May-10,1.1178
14-May-10,1.1334
17-May-10,1.1325
18-May-10,1.1531
19-May-10,1.1525
20-May-10,1.149
21-May-10,1.1497
24-May-10,1.1602
25-May-10,1.1575
26-May-10,1.1589
27-May-10,1.152
28-May-10,1.1591
31-May-10,1.1558
1-Jun-10,1.1549
2-Jun-10,1.1549
3-Jun-10,1.1548
4-Jun-10,1.1629
7-Jun-10,1.1626
8-Jun-10,1.153
9-Jun-10,1.1482
10-Jun-10,1.1425
11-Jun-10,1.1501
14-Jun-10,1.1424
15-Jun-10,1.1332
16-Jun-10,1.1312
17-Jun-10,1.1114
18-Jun-10,1.1088
21-Jun-10,1.1098
22-Jun-10,1.1082
23-Jun-10,1.1052
24-Jun-10,1.102
25-Jun-10,1.094
28-Jun-10,1.0874
29-Jun-10,1.0824
30-Jun-10,1.0784
1-Jul-10,1.0612
2-Jul-10,1.0626
5-Jul-10,1.0659
6-Jul-10,1.0601
7-Jul-10,1.0503
8-Jul-10,1.0495
9-Jul-10,1.0576
12-Jul-10,1.0609
13-Jul-10,1.0554
14-Jul-10,1.0527
15-Jul-10,1.0424
16-Jul-10,1.0506
19-Jul-10,1.0541
20-Jul-10,1.0506
21-Jul-10,1.0505
22-Jul-10,1.042
23-Jul-10,1.0533
26-Jul-10,1.0495
27-Jul-10,1.0604
28-Jul-10,1.0568
29-Jul-10,1.0414
30-Jul-10,1.0412
2-Aug-10,1.0394
3-Aug-10,1.0399
4-Aug-10,1.0538
5-Aug-10,1.0467
6-Aug-10,1.0381
9-Aug-10,1.0486
10-Aug-10,1.0492
11-Aug-10,1.0595
12-Aug-10,1.0493
13-Aug-10,1.052
16-Aug-10,1.0394
17-Aug-10,1.0445
18-Aug-10,1.0437
19-Aug-10,1.032
20-Aug-10,1.0342
23-Aug-10,1.0418
24-Aug-10,1.0313
25-Aug-10,1.0299
26-Aug-10,1.0241
27-Aug-10,1.0281
30-Aug-10,1.0253
31-Aug-10,1.0157
1-Sep-10,1.0167
2-Sep-10,1.0135
3-Sep-10,1.0165
6-Sep-10,1.0094
7-Sep-10,1.0111
8-Sep-10,1.0113
9-Sep-10,1.0154
10-Sep-10,1.0202
13-Sep-10,1.0082
14-Sep-10,0.9964
15-Sep-10,1.0022
16-Sep-10,1.0159
17-Sep-10,1.0099
20-Sep-10,1.0045
21-Sep-10,0.9962
22-Sep-10,0.987
23-Sep-10,0.9868
24-Sep-10,0.9833
27-Sep-10,0.9858
28-Sep-10,0.9764
29-Sep-10,0.9768
30-Sep-10,0.982
1-Oct-10,0.9739
4-Oct-10,0.9718
5-Oct-10,0.9652
6-Oct-10,0.9624
7-Oct-10,0.9662
8-Oct-10,0.963
11-Oct-10,0.9658
12-Oct-10,0.9574
13-Oct-10,0.9572
14-Oct-10,0.9556
15-Oct-10,0.9589
18-Oct-10,0.9596
19-Oct-10,0.9718
20-Oct-10,0.962
