Date,Price
1-Jan-09,90.73
2-Jan-09,92.43
5-Jan-09,93.26
6-Jan-09,93.41
7-Jan-09,92.77
8-Jan-09,91.41
9-Jan-09,90.17
12-Jan-09,89.47
13-Jan-09,89.39
14-Jan-09,89.16
15-Jan-09,89.99
16-Jan-09,90.93
19-Jan-09,90.65
20-Jan-09,89.84
21-Jan-09,89.08
22-Jan-09,89.15
23-Jan-09,89.62
26-Jan-09,89.28
27-Jan-09,89.35
28-Jan-09,90.5
29-Jan-09,89.94
30-Jan-09,90.09
2-Feb-09,89.4
3-Feb-09,89.39
4-Feb-09,89.47
5-Feb-09,91.19
6-Feb-09,92.23
9-Feb-09,91.34
10-Feb-09,90.16
11-Feb-09,90.33
12-Feb-09,90.7
13-Feb-09,92.16
16-Feb-09,91.75
17-Feb-09,92.31
18-Feb-09,93.67
19-Feb-09,94.03
20-Feb-09,92.53
23-Feb-09,94.4
24-Feb-09,96.59
25-Feb-09,97.41
26-Feb-09,98.36
27-Feb-09,96.88
2-Mar-09,97.11
3-Mar-09,98.54
4-Mar-09,99.04
5-Mar-09,98.16
6-Mar-09,96.59
9-Mar-09,98.95
10-Mar-09,98.81
11-Mar-09,97.26
12-Mar-09,97.34
13-Mar-09,98.67
16-Mar-09,98.27
17-Mar-09,98.81
18-Mar-09,96.44
19-Mar-09,94.51
20-Mar-09,96.28
23-Mar-09,97.11
24-Mar-09,98.34
25-Mar-09,97.78
26-Mar-09,98.73
27-Mar-09,97.11
30-Mar-09,97.43
31-Mar-09,99.34
1-Apr-09,98.56
2-Apr-09,99.72
3-Apr-09,100.39
6-Apr-09,100.43
7-Apr-09,100.68
8-Apr-09,99.9
9-Apr-09,100.66
10-Apr-09,100.24
13-Apr-09,100.35
14-Apr-09,99.02
15-Apr-09,99.27
16-Apr-09,99.5
17-Apr-09,98.74
20-Apr-09,97.78
21-Apr-09,98.55
22-Apr-09,98.07
23-Apr-09,97.89
24-Apr-09,96.65
27-Apr-09,96.37
28-Apr-09,96.54
29-Apr-09,97.59
30-Apr-09,98.9
1-May-09,99.57
4-May-09,98.85
